IID,projection
1706290,-0.07987082930829745
1570974,-0.07976820626523855
3047059,-0.07975328334410851
3204749,-0.07973520308709627
5301922,-0.07970045959011812
4179077,-0.07968743580501597
4355958,-0.07964779331081764
5616029,-0.07960037588248871
5743992,-0.07958009422808206
4991272,-0.07956683345384696
1960282,-0.07955134421065811
3854472,-0.07950002009253276
4310379,-0.07946363229332772
5493997,-0.07943760890288155
3933742,-0.07941186454572832
4696670,-0.07938214702563168
5230966,-0.07938203631870874
1064341,-0.07931518386644963
2185966,-0.07928645270305783
5450687,-0.0792512618305699
2747685,-0.07912022412406852
2639075,-0.07906704650749179
2993069,-0.07900940931627345
2970075,-0.07896831717452579
5368153,-0.07896659348564965
3101340,-0.07892662566800591
1004594,-0.07890957195138536
2696974,-0.07884189879260683
5700192,-0.07882910943661255
2556376,-0.07882655068062747
4447747,-0.07882341653128538
5837626,-0.07881864230063079
4256765,-0.07881011109833418
1916093,-0.07880470164547441
1731267,-0.07879776955515978
1125845,-0.07877855416211639
1135520,-0.0787631179493594
3603191,-0.07873848736402159
4130282,-0.07867389426013692
5494809,-0.07857768128137639
4964502,-0.07849680560849467
3161817,-0.0784927089447647
1410428,-0.07846873472079148
3750546,-0.07841296333156633
3415314,-0.0783937293189236
2265403,-0.07835151765985236
4627652,-0.07833214000231258
4658642,-0.0783233229981517
5150924,-0.07828992543665675
4178527,-0.07824819483529376
3669650,-0.07823083030302795
2754137,-0.07815703867561116
1859035,-0.07809325185576269
2357141,-0.07809184955868893
2640623,-0.07807193910852066
1846975,-0.07805245595873223
3815161,-0.07802886330512529
2691767,-0.07802179512194624
4514253,-0.07800783872543811
5220083,-0.07798632842049748
2786227,-0.07795613605027178
4007843,-0.0779504907142886
1537410,-0.07791065213294161
3248782,-0.07790957919571641
5634217,-0.07789656257033027
4811013,-0.07788854261187725
4123942,-0.07787888793570653
1824258,-0.07787263115619142
4739097,-0.07786274044638204
1524217,-0.07784608293043482
3288655,-0.0778339221165794
3948964,-0.07779185215835854
4352175,-0.07775270291314564
5614814,-0.07769822252629563
5089536,-0.07768797071736532
1089017,-0.0776754234973191
5044723,-0.07762613463573508
4236748,-0.07757556468283067
2332752,-0.0775700807048636
5622430,-0.0775676952595312
3596734,-0.07749359892925495
1291741,-0.07749248533203955
5851391,-0.07746185684602118
3043662,-0.07745204313661337
1589375,-0.07743391283336087
1666568,-0.07737821689502278
3472948,-0.07737707877776177
2053946,-0.07733856953575835
2429986,-0.07732195483129597
2746333,-0.07729443628785361
5483806,-0.0772922728983829
4300479,-0.07725649405833024
1983236,-0.07725647518189506
3503897,-0.07724297882229224
5291810,-0.0771967188829142
3443181,-0.07717152537482615
2449873,-0.07716363084680362
5896059,-0.07714622416957473
1272430,-0.07707521969889121
4668032,-0.07706963519338224
4321555,-0.07702467053283371
4241368,-0.07702126718192337
5587423,-0.07697842424276692
5773692,-0.07697139724417619
2502578,-0.07695086818969848
2279771,-0.07689444429335544
4586060,-0.07684122926406153
1503186,-0.07682404595601453
3458800,-0.07681043156637457
5381276,-0.0767736119370339
3236939,-0.07673732962674341
2533145,-0.07673301191540623
2617107,-0.07672290274166324
1277381,-0.07670156123578883
3662863,-0.07654092661183443
3942921,-0.07650207445646866
5316883,-0.0764997612180378
5141830,-0.07647382374235756
2652139,-0.07644185515124363
1590641,-0.07637875220691555
4199673,-0.07633186475874754
4587653,-0.07633085889894937
1391620,-0.07632367574903358
3059085,-0.07632299636824444
3641065,-0.07625411910364997
4402644,-0.07611763501779802
2316249,-0.07610941819184618
4010092,-0.07607196358039528
3502014,-0.07605674223549974
4464937,-0.0760290369570628
3616789,-0.07584864438266414
5308198,-0.07584095930483285
3850287,-0.07572056963828228
3008067,-0.07568908995820589
2170640,-0.07565201229886753
4610805,-0.07557183713673143
5279485,-0.07554349585835259
2814393,-0.07553414145877811
5903541,-0.07551445776532517
3252381,-0.07544565868900262
1870425,-0.07544010408924612
2233510,-0.07541972438201464
2858284,-0.07540013720013895
2202507,-0.07539344659722556
1055709,-0.0753126576816488
3012613,-0.07527643651870229
4204664,-0.07526317289597696
4237692,-0.07525450057466665
3983996,-0.07525040380419795
5634899,-0.07522048087882749
3588388,-0.07520817808750159
3298164,-0.0751977393552459
1714022,-0.07519664316625967
3023549,-0.07516181530379006
2212101,-0.07514117290739467
5792772,-0.07512352106225798
2842084,-0.07512008517603325
4897295,-0.07508951376199502
2967509,-0.07506624521255191
5391405,-0.07500643593137891
5037946,-0.0749997338327563
2292828,-0.07490192556662795
4671431,-0.07480042150280576
5566213,-0.07478145243334554
4096039,-0.07477837336176116
3085723,-0.07477426767592629
5833994,-0.07476784046984261
5867871,-0.07471372704938438
3552786,-0.07466542475415694
1959336,-0.07463268597058537
5702113,-0.07460060861880935
3223917,-0.0745744932860831
4324941,-0.07450247082856225
2307290,-0.0744948032733489
3626779,-0.07446749211197905
2367384,-0.07446536419753852
2010270,-0.07445417161273031
4558303,-0.07444992532412001
5443042,-0.07440519884460704
2610027,-0.07438031389228517
4227578,-0.07430513074766895
1201869,-0.07430419383730621
4622581,-0.07426675022110613
3743057,-0.074249958429543
1958283,-0.07422772984993622
3221898,-0.07422490595228401
3369912,-0.07419496368414023
2832619,-0.07419339774432014
4752207,-0.07413156580442824
5353544,-0.07411918789549345
1115785,-0.0741127037306003
2326754,-0.07409870685710984
1454034,-0.07407433105791247
2372137,-0.07406812845266969
3337356,-0.07404967465061778
3635500,-0.07398776371476855
4261667,-0.07397200920535889
1731226,-0.07397133833569584
2602807,-0.07396531830354867
2143061,-0.07394580998018499
3942722,-0.07394461125853825
2662405,-0.07377048506557378
1170426,-0.07376484036730585
2886256,-0.0737561638962585
1374584,-0.07374565198282468
1984641,-0.07373237801772639
